
# table
tab:
# first row
1.21 2. 3
#second row
2 11 5.3
2 11 5.3
2 11 0
2 11 .3
2 11 5.
2 11 5.3
2 11 5.3
111 1e-3 22.6

# vector of table 
# table 1
vtab:
1.111111 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
1. 2. 3
2 11 223
111 1e-3 55


# table 2
vtab:
1. 2. 3
2 1 22
2 1 22
2 1 22
2 1 22
2 1 22
2 1 22
2 1 22
11 1e-3 55
11 1e-3 55
11 1e-3 55

# table 3
vtab:
1. 2. 3e-1
2 11 22
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
1. 2. 3e-1
2 11 22
2 11 22
2 11 22
1.1 1e-3 55
